event,ParticleID,PDG,kaon_category,particle_parent_track_id,particle_process_key,particle_final_kinetic_energy,particle_decay_flag,range_bin_index,energy_MeV,path_length_cm,weighted_residual_range_cm,range_bin_low_cm,range_bin_high_cm,track_length_cm,n_steps,residual_range_cm,range_bin_width_cm,dEdx_MeV_per_cm
3,2,321,primary kaon,0,20,0.0,1,-2,4.962479000461211,1.0736272350874905,10.820976216254182,,,11.80276549493901,1,10.078895041603872,,4.6221619928045286
3,2,321,primary kaon,0,20,0.0,1,-1,5.3451853066481805,1.187056835791393,13.3060014963106,,,11.80276549493901,1,11.209237077043314,,4.502889116581032
3,2,321,primary kaon,0,20,0.0,1,0,6.649124521646485,0.10748107036113,0.005776090242987034,0.0,0.1,11.80276549493901,9,0.05374053518056449,0.1,61.86321460426308
3,2,321,primary kaon,0,20,0.0,1,1,3.0920741171980355,0.10252719752431609,0.016275646047135398,0.1,0.2,11.80276549493901,4,0.1587446691232865,0.1,30.15857442572442
3,2,321,primary kaon,0,20,0.0,1,2,2.5171567232067495,0.10953835134125486,0.029003284639484365,0.2,0.30000000000000004,11.80276549493901,3,0.26477744355607263,0.10000000000000003,22.979684214570845
3,2,321,primary kaon,0,20,0.0,1,3,2.035796665903859,0.09429686479908134,0.03457819370569179,0.30000000000000004,0.4,11.80276549493901,2,0.3666950516262409,0.09999999999999998,21.589229612686893
3,2,321,primary kaon,0,20,0.0,1,4,1.090212134696713,0.055719384454229824,0.024611429092289513,0.4,0.5,11.80276549493901,1,0.44170317625289535,0.09999999999999998,19.566119499978644
3,2,321,primary kaon,0,20,0.0,1,5,2.35785644865084,0.1309490988227914,0.07006266770935288,0.5,0.6,11.80276549493901,2,0.5350374178914061,0.09999999999999998,18.005900535761917
3,2,321,primary kaon,0,20,0.0,1,6,1.3786326393832922,0.07785410070593217,0.04978294967587449,0.6,0.7,11.80276549493901,1,0.6394390176557678,0.09999999999999998,17.707900121929555
3,2,321,primary kaon,0,20,0.0,1,7,1.4180985112202649,0.0872162741416758,0.06296790019343845,0.7,0.8049999999999999,11.80276549493901,1,0.7219742050795723,0.10499999999999998,16.259563082420584
3,2,321,primary kaon,0,20,0.0,1,8,2.7003194896821343,0.20274736970632365,0.17577305412601887,0.8049999999999999,0.92575,11.80276549493901,2,0.8669560270035728,0.12075000000000002,13.318641290358066
4,2,321,primary kaon,0,20,0.0,1,-25,1.5294970123984384,0.11709477065533806,0.1218874403174494,,,25.119748791859717,1,1.0409298351693117,,13.062043709026321
4,2,321,primary kaon,0,20,0.0,1,-24,11.50489840737302,1.0338334752370255,1.671082183070673,,,25.119748791859717,6,1.6163939581154947,,11.128386420971045
4,2,321,primary kaon,0,20,0.0,1,-23,7.462366620953878,0.8349582128320785,2.129802894513494,,,25.119748791859717,3,2.550789802150047,,8.937413281608935
4,2,321,primary kaon,0,20,0.0,1,-22,9.195440480350381,1.149061532373389,4.070894823163374,,,25.119748791859717,3,3.5427996747527803,,8.002565764565436
4,2,321,primary kaon,0,20,0.0,1,-21,8.565441861187157,1.237848927324467,5.86276805319647,,,25.119748791859717,3,4.736254904601708,,6.9196181150318745
4,2,321,primary kaon,0,20,0.0,1,-20,3.806223337691426,0.6089641540375914,3.446530944165776,,,25.119748791859717,1,5.65966144528274,,6.250324115886249
